company_name,country,website,industry,employees,confidence_score,evidence,source,source_url
Air Arabia,AE,,,,,Airlines - Dynamics NAV,theirstack_mena_batch1,
Emirates,AE,,,,,Airlines - Navision,theirstack_mena_batch1,
Etihad Airways,AE,,,,,Airlines - Dynamics NAV,theirstack_mena_batch1,
Telia UAE,AE,,,,,Telecom - Dynamics NAV,theirstack_final_batch1,
flydubai,AE,,,,,Airlines - Navision,theirstack_mena_batch1,
Telia Angola,AO,,,,,Telecom - Navision,theirstack_final_batch1,
Telia Burkina Faso,BF,,,,,Telecom - Dynamics NAV,theirstack_final_batch1,
Telia Bulgarien,BG,,,,,Telecom - Dynamics NAV,theirstack_final_batch1,
Bahrain Air,BH,,,,,Airlines - Navision,theirstack_mena_batch1,
Gulf Air,BH,,,,,Airlines - Dynamics NAV,theirstack_mena_batch1,
Telia Bahrain,BH,,,,,Telecom - Dynamics NAV,theirstack_final_batch1,
Telia DR Congo,CD,,,,,Telecom - Dynamics NAV,theirstack_final_batch1,
Telia Congo,CG,,,,,Telecom - Navision,theirstack_final_batch1,
Telia Elfenbenskysten,CI,,,,,Telecom - Dynamics NAV,theirstack_final_batch1,
Telia Cameroun,CM,,,,,Telecom - Navision,theirstack_final_batch1,
Alibaba,CN,,,,,E-commerce - Dynamics NAV,theirstack_asia_batch2,
CNOOC,CN,,,,,Energy - Dynamics NAV,theirstack_asia_batch2,
ChemChina,CN,,,,,Chemicals - Navision,theirstack_asia_batch2,
ChemChina Group,CN,,,,,Chemicals - Navision,theirstack_asia_batch2,
China National Chemical,CN,,,,,Chemicals - Dynamics NAV,theirstack_asia_batch2,
China National Petroleum,CN,,,,,Energy - Navision,theirstack_asia_batch2,
China Petrochemical,CN,,,,,Chemicals - Navision,theirstack_asia_batch2,
China Petroleum,CN,,,,,Energy - Dynamics NAV,theirstack_asia_batch2,
Haier,CN,,,,,Appliances - Dynamics NAV,theirstack_asia_batch2,
Hisense,CN,,,,,Electronics - Navision,theirstack_asia_batch2,
Huawei,CN,,,,,Telecom - Dynamics NAV,theirstack_asia_batch2,
Kweichow Moutai,CN,,,,,Beverages - Dynamics NAV,theirstack_asia_batch2,
Lenovo,CN,,,,,Electronics - Navision,theirstack_asia_batch2,
Luzhou Laojiao,CN,,,,,Beverages - Dynamics NAV,theirstack_asia_batch2,
Moutai Group,CN,,,,,Beverages - Dynamics NAV,theirstack_asia_batch2,
PetroChina,CN,,,,,Energy - Navision,theirstack_asia_batch2,
Pinduoduo,CN,,,,,E-commerce - Navision,theirstack_asia_batch2,
Sany Heavy Industry,CN,,,,,Construction - Navision,theirstack_asia_batch2,
Sinochem,CN,,,,,Chemicals - Dynamics NAV,theirstack_asia_batch2,
Sinochem Holdings,CN,,,,,Chemicals - Dynamics NAV,theirstack_asia_batch2,
Sinopec,CN,,,,,Energy - Dynamics NAV,theirstack_asia_batch2,
Tencent,CN,,,,,Gaming - Navision,theirstack_asia_batch2,
Wuliangye,CN,,,,,Beverages - Navision,theirstack_asia_batch2,
XCMG,CN,,,,,Construction - Navision,theirstack_asia_batch2,
Xiaomi,CN,,,,,Electronics - Navision,theirstack_asia_batch2,
Yanghe,CN,,,,,Beverages - Navision,theirstack_asia_batch2,
Zoomlion,CN,,,,,Construction - Dynamics NAV,theirstack_asia_batch2,
Telia Tjekkiet,CZ,,,,,Telecom - Dynamics NAV,theirstack_final_batch1,
Buchhalter/Finanzbuchhalter (m/w/d),DE,,,,,Hiring: Buchhalter/Finanzbuchhalter (m/w/d) | Cheyenne | JobLeads.com - Buchhalter/Finanzbuchhalter (m/w/d). MT.DERM GmbH. Cheyenne (WY). On-site ... Buchhaltungssoftware (Microsoft Dynamics NAV). MS Office. Teamplayer. Education.,job_posting_scrape,
Einkäufer (all gender) Food – Einkauf mit Geschmack!,DE,,,,,Hiring: Einkäufer (all gender) Food – Einkauf mit Geschmack! - LinkedIn - Einkäufer (all gender) Food – Einkauf mit Geschmack! in ... Fit in ERP- und BI-Tools (MS Dynamics NAV von Vorteil) und sicher in Excel & PowerPoint.,job_posting_scrape,
Martin Ettinger – Buchhaltung,DE,,,,,"Hiring: Martin Ettinger – Buchhaltung - Interim in München - LinkedIn - ... Navision, etc.) - Berufliche Erfahrungen in den Big Four - Mehr als 10jährige Erfahrung als kfm. Leiter und Finanzleiter - Mehr als 5 Jahre Projektleiter ...",job_posting_scrape,
 Ramboll,DK,,,,,Engineering - Dynamics NAV,theirstack_nordic_batch1,
Aalborg Kommune,DK,,,,,Manual research - Navision customer,manual_research,
Aarhus Kommune,DK,,,,,Manual research - Navision customer,manual_research,
Aarhus Tech - MDC Nordic,DK,mdcnordic.com,,,,Aarhus Tech now has an updated Navision Stat solution that operates optimally with all customizations intact. Our well-defined standard process for upgrades not only ensures efficiency but also …,country_expansion_v6_dk,
Aarhus Universitet,DK,,,,,Manual research - Navision customer,manual_research,
Bella Center,DK,,,,,Venues - Navision,theirstack_nordic_batch1,
Bispebjerg Hospital,DK,https://statens-adm.dk/support/oekonomisupport/navision-stat/,,,,Navision Stat institution,Navision Stat,
