company_name,country,website,industry,employees,confidence_score,evidence,source
Air Arabia,AE,,Transportation,,5,,theirstack_mena_batch1
Dynamic Consultants,AE,,Consulting,,5,,theirstack_global_batch2
Emirates,AE,,Transportation,,5,,theirstack_mena_batch1
Etihad Airways,AE,,Transportation,,5,,theirstack_mena_batch1
Hire Microsoft Navision Consultants and Dynamics NAV Developers,AE,www.hiredynamicsdevelopers.com,,,5,,country_expansion_v6_ae
Learn NAV Programming Language : C/AL - Navision Planet,AE,www.navisionplanet.com,,,5,,country_expansion_v6_ae
MICROSOFT BUSINESS SOLUTIONS—NAVISION,AE,download.microsoft.com,,,5,,country_expansion_v5_ae
"Managing Users, Profiles, and Role Centers",AE,sf-109983.dynamicstocloud.com:49000,,,5,,country_expansion_v5_ae
"Managing Users, Profiles, and Role Centers - LS Retail",AE,help.lscentral140.lsretail.com,,,5,,country_expansion_v5_ae
Telia UAE,AE,,Telecom,,5,,theirstack_final_batch1
flydubai,AE,,Transportation,,5,,theirstack_mena_batch1
Hire Microsoft Navision Consultants and Dynamics NAV Developers,AM,www.hiredynamicsdevelopers.com,,,5,,country_expansion_v6_am
Learn NAV Programming Language : C/AL - Navision Planet,AM,www.navisionplanet.com,,,5,,country_expansion_v6_am
Hire Microsoft Navision Consultants and Dynamics NAV …,AO,www.hiredynamicsdevelopers.com,,,5,,country_expansion_v6_ao
Learn NAV Programming Language : C/AL - Navision Planet,AO,www.navisionplanet.com,,,5,,country_expansion_v6_ao
Telia Angola,AO,,Telecom,,5,,theirstack_final_batch1
Casodeéxito – Distribución (Navision),AR,olivia.es,,,5,,global_jobs
Casosdeéxito,AR,aitana.es,,,5,,global_jobs
Consultorianavision Com,AR,consultorianavision.com,,,5,,global_jobs
Dynamics Connect Co Uk,AR,dynamics-connect.co.uk,,,5,,global_jobs
Dynamicsfanatics Com,AR,dynamicsfanatics.com,,,5,,global_jobs
Dynamicssmartz Com,AR,dynamicssmartz.com,,,5,,global_jobs
Dynamicssquare Com,AR,dynamicssquare.com,,,5,,global_jobs
Exceliaconsulting Com,AR,exceliaconsulting.com,,,5,,global_jobs
Expert Microsoft Dynamics NAVISION Consulting Services,AR,itransfluence.com,,,5,,country_expansion_v6_ar
Go Erp Eu,AR,go-erp.eu,,,5,,global_jobs
Hire Microsoft Navision Consultants and Dynamics NAV Developers,AR,www.hiredynamicsdevelopers.com,,,5,,country_expansion_v6_ar
Liebrecapital Com Ar,AR,liebrecapital.com.ar,,,5,,global_jobs
MicrosoftDynamicsNav- CONSULTORÍA NAVISION,AR,consultorianavision.com,,,5,,global_jobs
MicrosoftDynamicsNavNavisionArgentinaUruguay,AR,voxa.info,,,5,,global_jobs
Navision¿qué es? | Microsoft Dynamics NAV,AR,ceieu.com,,,5,,global_jobs
PeritajedeNavision. Otrocasodeéxito.,AR,peritajes-peritos.es,,,5,,global_jobs
Quienes somos,AR,voxa.info,,,5,,global_jobs
Se necesita urgente! Trabajo de consultor navision: 280 ofertas ...,AR,es.jobsora.com,,,5,,country_expansion_v6_ar
Sterling Team Com,AR,sterling-team.com,,,5,,global_jobs
Borealis,AT,,Chemicals,,5,,theirstack_europe_batch1
MICROSOFT BUSINESS SOLUTIONS—NAVISION,AT,download.microsoft.com,,,5,,country_expansion_v5_at
"Managing Users, Profiles, and Role Centers",AT,sf-109983.dynamicstocloud.com:49000,,,5,,country_expansion_v5_at
"Managing Users, Profiles, and Role Centers - LS Retail",AT,help.lscentral140.lsretail.com,,,5,,country_expansion_v5_at
novum publishing,AT,,Publishing,,5,,theirstack_europe_batch1
Über Uns – navconsulting GmbH,AT,www.navconsulting.de,,,5,,country_expansion_v6_at
Bunnings Warehouse,AU,,Retail,,5,,theirstack_other_batch1
Bupa Australia,AU,,Healthcare,,5,,theirstack_other_batch1
Casestudies Com,AU,casestudies.com,,,5,,global_jobs
Coles Group,AU,,Retail,,5,,theirstack_other_batch1
Companies that useNavisioninAustralia(175),AU,theirstack.com,,,5,,global_jobs
Datadrivensolutions Com Au,AU,datadrivensolutions.com.au,,,5,,global_jobs
Dynamics Connect Co Uk,AU,dynamics-connect.co.uk,,,5,,global_jobs
Dynamics NAV Support,AU,ebs.com.au,,,5,,global_jobs
DynamicsNAV& Navision,AU,fenwick.com.au,,,5,,global_jobs
Dynamicsfanatics Com,AU,dynamicsfanatics.com,,,5,,global_jobs
Dynamicssmartz Com,AU,dynamicssmartz.com,,,5,,global_jobs
Dynamicssquare Com,AU,dynamicssquare.com,,,5,,global_jobs
Fortescue Metals,AU,,Mining,,5,,theirstack_other_batch1
Go Erp Eu,AU,go-erp.eu,,,5,,global_jobs
Hire Microsoft Navision Consultants and Dynamics NAV Developers,AU,www.hiredynamicsdevelopers.com,,,5,,country_expansion_v6_au
Hire Microsoft Navision Consultants and Dynamics NAV …,AU,www.hiredynamicsdevelopers.com,,,5,,country_expansion_v5_au
Kmart Australia,AU,,Retail,,5,,theirstack_other_batch1
Kynection Com Au,AU,kynection.com.au,,,5,,global_jobs
Learn NAV Programming Language : C/AL - Navision Planet,AU,www.navisionplanet.com,,,5,,country_expansion_v6_au
MICROSOFT BUSINESS SOLUTIONS—NAVISION,AU,download.microsoft.com,,,5,,country_expansion_v6_au
Macquarie Group,AU,,Finance,,5,,theirstack_other_batch1
