company_name,country,website,industry,employees,confidence_score,evidence_type,evidence_text,source,source_url,is_frozen,verified_by,verified_at
Air Arabia,AE,,Transportation,,5,theirstack,Airlines - Dynamics NAV,theirstack_mena_batch1,,1,CDQO,2026-04-15T07:17:58.095474
Emirates,AE,,Transportation,,5,theirstack,Airlines - Navision,theirstack_mena_batch1,,1,CDQO,2026-04-15T07:17:58.095442
Etihad Airways,AE,,Transportation,,5,theirstack,Airlines - Dynamics NAV,theirstack_mena_batch1,,1,CDQO,2026-04-15T07:17:58.095452
Telia UAE,AE,,Telecom,,5,theirstack,Telecom - Dynamics NAV,theirstack_final_batch1,,1,CDQO,2026-04-15T07:17:58.096965
flydubai,AE,,Transportation,,5,theirstack,Airlines - Navision,theirstack_mena_batch1,,1,CDQO,2026-04-15T07:17:58.095463
Telia Angola,AO,,Telecom,,5,theirstack,Telecom - Navision,theirstack_final_batch1,,1,CDQO,2026-04-15T07:17:58.097359
Borealis,AT,,Chemicals,,5,theirstack,Chemicals - Dynamics NAV,theirstack_europe_batch1,,1,CDQO,2026-04-15T07:17:58.091010
novum publishing,AT,,Publishing,,5,theirstack,Publishing - Navision,theirstack_europe_batch1,,1,CDQO,2026-04-15T07:17:58.091021
Bunnings Warehouse,AU,,Retail,,5,theirstack,Hardware - Navision,theirstack_other_batch1,,1,CDQO,2026-04-15T07:17:58.090182
Bupa Australia,AU,,Healthcare,,5,theirstack,Health insurance - Dynamics NAV,theirstack_other_batch1,,1,CDQO,2026-04-15T07:17:58.090170
Coles Group,AU,,Retail,,5,theirstack,Supermarket - Navision,theirstack_other_batch1,,1,CDQO,2026-04-15T07:17:58.090070
Fortescue Metals,AU,,Mining,,5,theirstack,Mining - Navision,theirstack_other_batch1,,1,CDQO,2026-04-15T07:17:58.090048
Kmart Australia,AU,,Retail,,5,theirstack,Retail - Navision,theirstack_other_batch1,,1,CDQO,2026-04-15T07:17:58.090203
Macquarie Group,AU,,Finance,,5,theirstack,Banking - Navision,theirstack_other_batch1,,1,CDQO,2026-04-15T07:17:58.090144
Officeworks,AU,,Retail,,5,theirstack,Retail - Dynamics NAV,theirstack_other_batch1,,1,CDQO,2026-04-15T07:17:58.090193
QBE Insurance,AU,,Insurance,,5,theirstack,Insurance - Dynamics NAV,theirstack_other_batch1,,1,CDQO,2026-04-15T07:17:58.090131
Qantas,AU,,Transportation,,5,theirstack,Airlines - Dynamics NAV,theirstack_other_batch1,,1,CDQO,2026-04-15T07:17:58.090110
Rio Tinto,AU,,Mining,,5,theirstack,Mining - Dynamics NAV,theirstack_other_batch1,,1,CDQO,2026-04-15T07:17:58.090037
