Company,Country,Website,Evidence,Source,Priority
INTERLEX Advokater,DK,https://www.jobindex.dk/jobsoegning/storkoebenhavn?q=navision,Cap Legal specialmodul til advokater,Jobopslag,HOT - Active Hiring
EXPO-NET Danmark A/S,DK,https://dk.linkedin.com/jobs/view/produktionsplanlægger-at-expo-net-danmark-a-s-3966564668,Implementerer Navision lige nu,LinkedIn Job,HOT - Active Hiring
Welldana,DK,,Bruger Navision ifølge jobopslag,Job Posting,HOT - Active Hiring
Try & Hire Esbjerg,DK,,Bruger Navision ifølge jobopslag,Job Posting,HOT - Active Hiring
Tinglysningen,DK,,Advokatsekretær med Navision/Cap Legal erfaring,Jobindex,HOT - Active Hiring
Plantas Group,DK,,Hiring for 'Senior Dynamics NAV/BC Developer' - Posted 2026-03,global_jobs,HOT - Active Hiring
Aarstiderne,DK,,Hiring for 'Teamleder med ERP erfaring' - Posted 2026-02,global_jobs,HOT - Active Hiring
Panzer,DK,,Hiring for 'Finance Manager - NAV' - Posted 2026-02,global_jobs,HOT - Active Hiring
Aleris,DK,,Hiring for 'Økonomimedarbejder - NAV' - Posted 2026-02,global_jobs,HOT - Active Hiring
ASSA ABLOY,DK,,Hiring for 'NAV Support Specialist' - Posted 2026-03,global_jobs,HOT - Active Hiring
Meldgaard,DK,,Hiring for 'Erfaren NAV-udvikler' - Posted 2026-03,global_jobs,HOT - Active Hiring
Bergen Kommune,NO,,Hiring for 'ERP Rådgiver' - Posted 2026-01,global_jobs,HOT - Active Hiring
TK Elevator,DE,,Hiring for 'NAV Entwickler' - Posted 2026-02,global_jobs,HOT - Active Hiring
Naviators Dk,SE,naviators.dk,Case study: Implementeringog rådgivning af løsninger baseret på Dynamics NAV,global_jobs,HOT - Active Hiring
Xacct No,NO,xacct.no,Case study: Vi har en visjon for dinNavision- XACCT,global_jobs,HOT - Active Hiring
Damgaard ASA ogNavisionSoftwareNorgeer gått SA,NO,tungt.no,Case study: Stor fusjon: Damgaard ASA ogNavisionSoftwareNorgeer gått sammen,global_jobs,HOT - Active Hiring
Dynamics4All Nl,NL,dynamics4all.nl,"Case study: Navision: Microsoft Dynamics NAV (Navision) professionals, freelancers ...",global_jobs,HOT - Active Hiring
Newmindssystems Nl,NL,newmindssystems.nl,Case study: Wat is MicrosoftNavisionERP en wat zijn de voordelen?,global_jobs,HOT - Active Hiring
Astena Be,BE,astena.be,Case study: Croissance contrôlée grâce à Microsoft Dynamics NAV | Astena,global_jobs,HOT - Active Hiring
Eozys Be,BE,eozys.be,Case study: NavisionIntegrator Belgium Microsoft Dynamics Nav | Eozys,global_jobs,HOT - Active Hiring
Galanet Be,BE,galanet.be,Case study: Navision software? Wij zijn al expert sinds 1996 in Navision,global_jobs,HOT - Active Hiring
Nmierp Pl,PL,nmierp.pl,Case study: IBCS -CaseStudy- Microsoft Dynamics NAV,global_jobs,HOT - Active Hiring
