name,country,industry,evidence_type,evidence,confidence,source,website,source_url,discovered,quality_reason
Morgan Stanley,US,Financial Services,theirstack,TheirStack technology detection - 96000 employees,5,TheirStack,,https://theirstack.com/en/technology/navision/us,2026-04-11T12:19:40.687061Z,GOOD: theirstack.*technology.*detection
LHH,US,HR Services,theirstack,TheirStack technology detection - 24000 employees,5,TheirStack,,https://theirstack.com/en/technology/navision/us,2026-04-11T12:19:40.687028Z,GOOD: theirstack.*technology.*detection
AMETEK,US,Manufacturing,theirstack,TheirStack technology detection - 10000 employees,5,TheirStack,,https://theirstack.com/en/technology/navision/us,2026-04-11T12:19:40.686985Z,GOOD: theirstack.*technology.*detection
BNY Mellon,US,Financial Services,theirstack,TheirStack technology detection - 54000 employees,5,TheirStack,,https://theirstack.com/en/technology/navision/us,2026-04-11T12:19:40.686968Z,GOOD: theirstack.*technology.*detection
BNY,US,Financial Services,theirstack,TheirStack technology detection - 56000 employees,5,TheirStack,,https://theirstack.com/en/technology/navision/us,2026-04-11T12:19:40.686935Z,GOOD: theirstack.*technology.*detection
9altitudes Belgium,BE,IT Services,theirstack,TheirStack technology detection - 132 employees,5,TheirStack,,https://theirstack.com/en/technology/navision/be,2026-04-11T12:19:40.686860Z,GOOD: theirstack.*technology.*detection
Cegeka,BE,IT Services,theirstack,TheirStack technology detection - 5100 employees,5,TheirStack,,https://theirstack.com/en/technology/navision/be,2026-04-11T12:19:40.686808Z,GOOD: theirstack.*technology.*detection
Nikon Metrology,BE,Manufacturing,theirstack,TheirStack technology detection - 478 employees,5,TheirStack,,https://theirstack.com/en/technology/navision/be,2026-04-11T12:19:40.686788Z,GOOD: theirstack.*technology.*detection
Beddeleem,BE,Construction,theirstack,TheirStack technology detection - 148 employees,5,TheirStack,,https://theirstack.com/en/technology/navision/be,2026-04-11T12:19:40.686777Z,GOOD: theirstack.*technology.*detection
BESIX,BE,Construction,theirstack,TheirStack technology detection - 12000 employees,5,TheirStack,,https://theirstack.com/en/technology/navision/be,2026-04-11T12:19:40.686735Z,GOOD: theirstack.*technology.*detection
Desotec,BE,Oil & Gas,theirstack,TheirStack technology detection - 201 employees,5,TheirStack,,https://theirstack.com/en/technology/navision/be,2026-04-11T12:19:40.686682Z,GOOD: theirstack.*technology.*detection
BDO,BE,Accounting,theirstack,TheirStack technology detection - 62000 employees,5,TheirStack,,https://theirstack.com/en/technology/navision/be,2026-04-11T12:19:40.686620Z,GOOD: theirstack.*technology.*detection
Alphatron Marine,NL,Maritime,theirstack,TheirStack technology detection - 363 employees,5,TheirStack,,https://theirstack.com/en/technology/navision/nl,2026-04-11T12:19:40.686433Z,GOOD: theirstack.*technology.*detection
Nivel Groep,NL,Architecture,theirstack,TheirStack technology detection - 65 employees,5,TheirStack,,https://theirstack.com/en/technology/navision/nl,2026-04-11T12:19:40.686387Z,GOOD: theirstack.*technology.*detection
Koers,NL,Real Estate,theirstack,TheirStack technology detection - 84 employees,5,TheirStack,,https://theirstack.com/en/technology/navision/nl,2026-04-11T12:19:40.686347Z,GOOD: theirstack.*technology.*detection
Brand Masters BV,NL,Food & Beverage,theirstack,TheirStack technology detection - 110 employees,5,TheirStack,,https://theirstack.com/en/technology/navision/nl,2026-04-11T12:19:40.686337Z,GOOD: theirstack.*technology.*detection
The HEINEKEN Company,NL,Food & Beverage,theirstack,TheirStack technology detection - 43000 employees,5,TheirStack,,https://theirstack.com/en/technology/navision/nl,2026-04-11T12:19:40.686298Z,GOOD: theirstack.*technology.*detection
Randstad,NL,HR Services,theirstack,TheirStack technology detection - 63000 employees,5,TheirStack,,https://theirstack.com/en/technology/navision/nl,2026-04-11T12:19:40.686239Z,GOOD: theirstack.*technology.*detection
TK Elevator,DE,Manufacturing,theirstack,TheirStack technology detection - 24000 employees,5,TheirStack,,https://theirstack.com/en/technology/navision/de,2026-04-11T12:19:40.686027Z,GOOD: theirstack.*technology.*detection
anaptis GmbH,DE,IT Services,theirstack,TheirStack technology detection - 35 employees,5,TheirStack,,https://theirstack.com/en/technology/navision/de,2026-04-11T12:19:40.685956Z,GOOD: theirstack.*technology.*detection
Connamix GmbH & Co. KG,DE,IT Services,theirstack,TheirStack technology detection - 14 employees,5,TheirStack,,https://theirstack.com/en/technology/navision/de,2026-04-11T12:19:40.685878Z,GOOD: theirstack.*technology.*detection
Bechtle,DE,IT Services,theirstack,TheirStack technology detection - 10000 employees,5,TheirStack,,https://theirstack.com/en/technology/navision/de,2026-04-11T12:19:40.685864Z,GOOD: theirstack.*technology.*detection
BayernInvest Kapitalverwaltungsgesellschaft mbH,DE,Financial Services,theirstack,TheirStack technology detection - 201 employees,5,TheirStack,,https://theirstack.com/en/technology/navision/de,2026-04-11T12:19:40.685804Z,GOOD: theirstack.*technology.*detection
Löwenstein Medical,DE,Pharmaceutical,theirstack,TheirStack technology detection - 430 employees,5,TheirStack,,https://theirstack.com/en/technology/navision/de,2026-04-11T12:19:40.685108Z,GOOD: theirstack.*technology.*detection
Temet,FI,Defense,theirstack,TheirStack technology detection - 62 employees,5,TheirStack,,https://theirstack.com/en/technology/navision/fi,2026-04-11T12:07:59.309117Z,GOOD: theirstack.*technology.*detection
iLOQ,FI,Security,theirstack,TheirStack technology detection - 324 employees,5,TheirStack,,https://theirstack.com/en/technology/navision/fi,2026-04-11T12:07:59.308879Z,GOOD: theirstack.*technology.*detection
BHG Group,SE,Retail,theirstack,TheirStack technology detection - 161 employees,5,TheirStack,,https://theirstack.com/en/technology/navision/se,2026-04-11T12:07:59.308561Z,GOOD: theirstack.*technology.*detection
